ID	SYMBOL	NAME	PRICE	CHANGE_24H%	VOLUME
bitcoin	btc	Bitcoin	102774	1.45725	93332105766
ethereum	eth	Ethereum	3426.23	3.14695	39851586610
tether	usdt	Tether	0.999462	-0.01344	135804571830
ripple	xrp	XRP	2.31	3.96241	5618870449
binancecoin	bnb	BNB	988.56	4.00583	2672451022
solana	sol	Solana	161.19	3.2736	6606917795
usd-coin	usdc	USDC	0.999907	0.01545	9990321614
staked-ether	steth	Lido Staked Ether	3420.59	3.10102	100962580
tron	trx	TRON	0.29209	2.99724	876880811
dogecoin	doge	Dogecoin	0.178696	9.90263	2882989994
cardano	ada	Cardano	0.577959	7.66937	1532409293
figure-heloc	figr_heloc	Figure Heloc	1.029	-0.16298	12764427
wrapped-steth	wsteth	Wrapped stETH	4170.84	3.22255	33565720
wrapped-bitcoin	wbtc	Wrapped Bitcoin	102712	1.65228	477674532
wrapped-beacon-eth	wbeth	Wrapped Beacon ETH	3699.92	2.96279	6378729
whitebit	wbt	WhiteBIT Coin	53.86	4.41256	161312933
hyperliquid	hype	Hyperliquid	42.1	8.24555	670794647
chainlink	link	Chainlink	15.73	6.05955	1077646268
zcash	zec	Zcash	632.37	19.20643	4307869029
bitcoin-cash	bch	Bitcoin Cash	509.95	7.31309	684385156
stellar	xlm	Stellar	0.291761	7.84931	321921063
usds	usds	USDS	1	0.02172	8745958
binance-bridged-usdt-bnb-smart-chain	bsc-usd	Binance Bridged USDT (BNB Smart Chain)	0.999485	0.02477	3138556958
wrapped-eeth	weeth	Wrapped eETH	3687.69	2.91851	92609804
ethena-usde	usde	Ethena USDe	0.999527	0.06504	637093098
leo-token	leo	LEO Token	9.16	2.18738	2700512
sui	sui	Sui	2.15	8.269	1327645485
litecoin	ltc	Litecoin	101.19	15.54285	1523975448
avalanche-2	avax	Avalanche	17.82	9.8707	874148613
coinbase-wrapped-btc	cbbtc	Coinbase Wrapped BTC	102726	1.45534	638299907
hedera-hashgraph	hbar	Hedera	0.176745	7.04503	376481967
weth	weth	WETH	3418.58	2.92072	135140280
monero	xmr	Monero	368.27	1.22532	194214779
shiba-inu	shib	Shiba Inu	0.00001012	11.59732	301273362
polkadot	dot	Polkadot	3.24	18.24504	815273507
the-open-network	ton	Toncoin	2.11	7.11305	187811822
ethena-staked-usde	susde	Ethena Staked USDe	1.2	0.04218	348974633
crypto-com-chain	cro	Cronos	0.129902	5.32161	56750261
dai	dai	Dai	1.001	0.11754	130655925
