SYMBOL	FIYAT	TARIH	HATA
ASELS.IS	185.1	2025-11-07T15:09:59.000Z	
THYAO.IS	289.5	2025-11-07T15:09:57.000Z	
GARAN.IS	133.5	2025-11-07T15:09:59.000Z	
BIMAS.IS	556	2025-11-07T15:09:56.000Z	
AKBNK.IS	60.9	2025-11-07T15:09:59.000Z	
EREGL.IS	26.12	2025-11-07T15:09:57.000Z	
SISE.IS	36	2025-11-07T15:09:51.000Z	
PETKM.IS	17.05	2025-11-07T15:09:56.000Z	
TUPRS.IS	198	2025-11-07T15:09:58.000Z	
TAVHL.IS	268.25	2025-11-07T15:08:43.000Z	
ISCTR.IS	12.88	2025-11-07T15:09:58.000Z	
HALKB.IS	27.54	2025-11-07T15:09:53.000Z	
VAKBN.IS	25.28	2025-11-07T15:09:57.000Z	
YKBNK.IS	33.54	2025-11-07T15:09:17.000Z	
TCELL.IS	96.9	2025-11-07T15:09:53.000Z	
FROTO.IS	97.1	2025-11-07T15:09:58.000Z	
TOASO.IS	230	2025-11-07T15:09:22.000Z	
TSKB.IS	12.61	2025-11-07T15:09:59.000Z	
TTRAK.IS	556	2025-11-07T15:05:11.000Z	
MGROS.IS	499	2025-11-07T15:09:58.000Z	
KCHOL.IS	171.8	2025-11-07T15:09:57.000Z	
AKSUE.IS	17.14	2025-11-07T15:05:12.000Z	
KRDMD.IS	25.94	2025-11-07T15:09:55.000Z	
KOZAL.IS	28.4	2025-11-07T15:09:51.000Z	
KOZAA.IS	90.75	2025-11-07T15:09:43.000Z	
ARCLK.IS	108.3	2025-11-07T15:09:56.000Z	
ENKAI.IS	77.9	2025-11-07T15:09:54.000Z	
ISGYO.IS	20.66	2025-11-07T15:08:02.000Z	
KAPLM.IS	471	2025-11-07T15:08:55.000Z	
IHLGM.IS	2.92	2025-11-07T15:09:43.000Z	
KORDS.IS	53.75	2025-11-07T15:09:57.000Z	
KARSN.IS	10.1	2025-11-07T15:09:57.000Z	
