ID	SYMBOL	NAME	PRICE	CHANGE_24H%	VOLUME
bitcoin	btc	Bitcoin	103093	-2.41807	71454305429
ethereum	eth	Ethereum	3459.77	-2.45944	34985661723
tether	usdt	Tether	0.999801	0.00048	116056713130
ripple	xrp	XRP	2.42	-5.32598	4353247751
binancecoin	bnb	BNB	965.34	-1.93846	1789220768
solana	sol	Solana	158.07	-4.86061	5983936501
usd-coin	usdc	USDC	0.9998	-0.00004	8267620521
staked-ether	steth	Lido Staked Ether	3457.69	-2.4345	72634995
tron	trx	TRON	0.299409	1.39007	671452741
dogecoin	doge	Dogecoin	0.174168	-2.74504	1974620953
cardano	ada	Cardano	0.564741	-3.70145	998409860
figure-heloc	figr_heloc	Figure Heloc	1.036	0.19444	18620323
wrapped-steth	wsteth	Wrapped stETH	4216.24	-2.37753	36938837
wrapped-bitcoin	wbtc	Wrapped Bitcoin	102987	-2.18371	270763260
wrapped-beacon-eth	wbeth	Wrapped Beacon ETH	3742.18	-2.49078	4564113
whitebit	wbt	WhiteBIT Coin	54.09	-1.13937	94447599
chainlink	link	Chainlink	15.66	-2.87789	744700905
hyperliquid	hype	Hyperliquid	39.34	-5.14618	433650967
bitcoin-cash	bch	Bitcoin Cash	508.64	-0.27275	381484411
usds	usds	USDS	0.999788	-0.01139	23677146
stellar	xlm	Stellar	0.284547	-5.05066	200336480
wrapped-eeth	weeth	Wrapped eETH	3734.21	-2.41556	6095908
binance-bridged-usdt-bnb-smart-chain	bsc-usd	Binance Bridged USDT (BNB Smart Chain)	0.999144	-0.07208	2340560925
leo-token	leo	LEO Token	9.27	2.02849	3870944
ethena-usde	usde	Ethena USDe	0.998178	-0.10128	183604197
zcash	zec	Zcash	498.1	-14.2915	3446883138
weth	weth	WETH	3458.17	-2.42155	456848391
hedera-hashgraph	hbar	Hedera	0.180767	-6.20025	322386373
litecoin	ltc	Litecoin	99.83	-7.39399	973280698
coinbase-wrapped-btc	cbbtc	Coinbase Wrapped BTC	103110	-2.24722	500758002
sui	sui	Sui	2.05	-4.28583	856344165
avalanche-2	avax	Avalanche	17.33	-3.6657	482526957
monero	xmr	Monero	381.48	-3.36606	210267978
shiba-inu	shib	Shiba Inu	0.00000972	-2.93345	159402620
uniswap	uni	Uniswap	8.59	22.37909	4434602312
polkadot	dot	Polkadot	3.15	-1.61972	362050624
