SYMBOL	FIYAT	TARIH	HATA
ASELS.IS	197.3	2025-11-04T15:09:59.000Z	
THYAO.IS	289	2025-11-04T15:09:49.000Z	
GARAN.IS	134.2	2025-11-04T15:09:31.000Z	
BIMAS.IS	532.5	2025-11-04T15:09:39.000Z	
AKBNK.IS	61	2025-11-04T15:09:57.000Z	
EREGL.IS	29.18	2025-11-04T15:09:34.000Z	
SISE.IS	36.98	2025-11-04T15:09:50.000Z	
PETKM.IS	17.43	2025-11-04T15:09:59.000Z	
TUPRS.IS	188	2025-11-04T15:09:57.000Z	
TAVHL.IS	270	2025-11-04T15:08:04.000Z	
ISCTR.IS	12.89	2025-11-04T15:09:57.000Z	
HALKB.IS	26.66	2025-11-04T15:09:17.000Z	
VAKBN.IS	25.04	2025-11-04T15:08:36.000Z	
YKBNK.IS	33.28	2025-11-04T15:09:58.000Z	
TCELL.IS	96.45	2025-11-04T15:09:57.000Z	
FROTO.IS	98.5	2025-11-04T15:09:51.000Z	
TOASO.IS	245.3	2025-11-04T15:09:57.000Z	
TSKB.IS	12.73	2025-11-04T15:09:21.000Z	
TTRAK.IS	557	2025-11-04T15:08:01.000Z	
MGROS.IS	456	2025-11-04T15:08:23.000Z	
KCHOL.IS	170.9	2025-11-04T15:10:00.000Z	
AKSUE.IS	17.51	2025-11-04T15:08:02.000Z	
KRDMD.IS	28.62	2025-11-04T15:09:53.000Z	
KOZAL.IS	26.86	2025-11-04T15:09:52.000Z	
KOZAA.IS	89.05	2025-11-04T15:08:34.000Z	
ARCLK.IS	112.1	2025-11-04T15:08:07.000Z	
ENKAI.IS	75.95	2025-11-04T15:09:45.000Z	
ISGYO.IS	20.28	2025-11-04T15:09:34.000Z	
KAPLM.IS	491	2025-11-04T15:08:10.000Z	
IHLGM.IS	2.92	2025-11-04T15:09:23.000Z	
KORDS.IS	54.95	2025-11-04T15:08:01.000Z	
KARSN.IS	10.43	2025-11-04T15:09:44.000Z	
